,,National Water Informatics Centre
,,Land Use and Land Cover Distribution of Kerala of Wayanad of Year 2017
,,"Date : 26/8/2024, 10:27:56 pm"
,,Year : 2017-2018
,,
,,
,,
S.No,Classes,Area Sq. Km
1,Built up,15.171968
2,Kharif crop,14.601216
3,Rabi crop,15.902656
4,Zaid crop,0.257152
5,Double / Triple Crop,82.423488
6,Current fallow,0.545664
7,Plantation,195.971776
8,Evergreen forest,261.551808
9,Deciduous forest,1522.32416
10,Degraded / Scrub Forest,3.04192
11,Littoral swamp,0
12,Grassland,4.380992
13,Shifting cultivation,0
14,Wasteland,9.270016
15,Rann,0
16,Waterbodies max,10.687488
17,Waterbodies min,4.9392
18,Snow cover,0
Year : 2016-2017,,
1,Built up,1475.839232
2,Kharif crop,258.274688
3,Rabi crop,659.663872
4,Zaid crop,33.611648
5,Double / Triple Crop,2170.265664
6,Current fallow,344.059968
7,Plantation,14071.52365
8,Evergreen forest,4324.757248
9,Deciduous forest,13748.31181
10,Degraded / Scrub Forest,114.266432
11,Littoral swamp,0.191296
12,Grassland,16.47968
13,Shifting cultivation,0
14,Wasteland,695.937984
15,Rann,0
16,Waterbodies max,818.812736
17,Waterbodies min,670.122432
18,Snow cover,0
Year : 2015-2016,,
1,Built up,1469.877696
2,Kharif crop,221.872
3,Rabi crop,111.995968
4,Zaid crop,6.25632
5,Double / Triple Crop,2383.153024
6,Current fallow,756.973952
7,Plantation,14055.52378
8,Evergreen forest,4331.487104
9,Deciduous forest,13758.86758
10,Degraded / Scrub Forest,114.410688
11,Littoral swamp,0.191296
12,Grassland,16.504768
13,Shifting cultivation,0
14,Wasteland,696.947776
15,Rann,0
16,Waterbodies max,784.843584
17,Waterbodies min,693.284928
18,Snow cover,0
Year : 2014-2015,,
1,Built up,1475.328
2,Kharif crop,1472.619
3,Rabi crop,316.5949
4,Zaid crop,77.04525
5,Double / Triple Crop,849.1724
6,Current fallow,638.7687
7,Plantation,14066.29
8,Evergreen forest,4324.729
9,Deciduous forest,13747.74
10,Degraded / Scrub Forest,114.3856
11,Littoral swamp,0.191296
12,Grassland,17.58042
13,Shifting cultivation,0
14,Wasteland,782.8616
15,Rann,0
16,Waterbodies max,973.5492
17,Waterbodies min,545.3818
18,Snow cover,0
