,,National Water Informatics Centre,,,,,,,
,,Volumetric Soilmoisture_Monthly data for Districts for 2018-07 to 2024-09,,,,,,,
,,"Date : 14/9/2024, 6:13:12 pm",,,,,,,
,,,,,,,,,
,,,,,,,,,
State,District,Date,Volumetric Soil Moisture (in %),,,,,,
Kerala,Wayanad,2018-07,28.79,,,,,,
Kerala,Wayanad,2018-08,29.79,,,,,,
Kerala,Wayanad,2018-09,24.82,,,,,,
Kerala,Wayanad,2018-10,29.08,,,,,,
Kerala,Wayanad,2018-11,24.74,,,,,,
Kerala,Wayanad,2018-12,23.71,,,,,,
Kerala,Wayanad,2019-01,20.26,,,,,,
Kerala,Wayanad,2019-02,16.16,,,,,,
Kerala,Wayanad,2019-03,16.05,,,,,,
Kerala,Wayanad,2019-04,20.98,,,,,,
Kerala,Wayanad,2019-05,24.78,,,,,,
Kerala,Wayanad,2019-06,27.05,,,,,,
Kerala,Wayanad,2019-07,26.93,,,,,,
Kerala,Wayanad,2019-08,30.29,,,,,,
Kerala,Wayanad,2019-09,30.11,,,,,,
Kerala,Wayanad,2019-10,30.07,,,,,,
Kerala,Wayanad,2019-11,28.21,,,,,,
Kerala,Wayanad,2019-12,25.16,,,,,,
Kerala,Wayanad,2020-01,18.07,,,,,,
Kerala,Wayanad,2020-02,15.61,,,,,,
Kerala,Wayanad,2020-03,15.51,,,,,,
Kerala,Wayanad,2020-04,23.92,,,,,,
Kerala,Wayanad,2020-05,26.77,,,,,,
Kerala,Wayanad,2020-06,29.29,,,,,,
Kerala,Wayanad,2020-07,30.72,,,,,,
Kerala,Wayanad,2020-08,29.47,,,,,,
Kerala,Wayanad,2020-09,30.32,,,,,,
Kerala,Wayanad,2020-10,24.61,,,,,,
Kerala,Wayanad,2020-11,24.32,,,,,,
Kerala,Wayanad,2020-12,21.90,,,,,,
Kerala,Wayanad,2021-01,23.17,,,,,,
Kerala,Wayanad,2021-02,18.31,,,,,,
Kerala,Wayanad,2021-03,20.04,,,,,,
Kerala,Wayanad,2021-04,23.48,,,,,,
Kerala,Wayanad,2021-05,26.31,,,,,,
Kerala,Wayanad,2021-06,26.97,,,,,,
Kerala,Wayanad,2021-07,28.82,,,,,,
Kerala,Wayanad,2021-08,28.72,,,,,,
Kerala,Wayanad,2021-09,27.01,,,,,,
Kerala,Wayanad,2021-10,29.34,,,,,,
Kerala,Wayanad,2021-12,21.85,,,,,,
Kerala,Wayanad,2022-01,17.16,,,,,,
Kerala,Wayanad,2022-02,15.63,,,,,,
Kerala,Wayanad,2022-03,18.31,,,,,,
Kerala,Wayanad,2022-04,25.34,,,,,,
Kerala,Wayanad,2022-05,26.79,,,,,,
Kerala,Wayanad,2022-06,26.19,,,,,,
Kerala,Wayanad,2022-07,29.32,,,,,,
Kerala,Wayanad,2022-08,29.37,,,,,,
Kerala,Wayanad,2022-09,26.45,,,,,,
Kerala,Wayanad,2022-10,25.91,,,,,,
Kerala,Wayanad,2022-11,22.89,,,,,,
Kerala,Wayanad,2022-12,22.70,,,,,,
Kerala,Wayanad,2023-01,18.52,,,,,,
Kerala,Wayanad,2023-02,16.60,,,,,,
Kerala,Wayanad,2023-03,17.67,,,,,,
Kerala,Wayanad,2023-04,20.61,,,,,,
Kerala,Wayanad,2023-05,25.13,,,,,,
Kerala,Wayanad,2023-06,25.03,,,,,,
Kerala,Wayanad,2023-07,28.67,,,,,,
Kerala,Wayanad,2023-08,24.74,,,,,,
Kerala,Wayanad,2023-09,25.75,,,,,,
Kerala,Wayanad,2023-10,25.18,,,,,,
Kerala,Wayanad,2023-11,25.30,,,,,,
Kerala,Wayanad,2023-12,20.80,,,,,,
Kerala,Wayanad,2024-01,20.86,,,,,,
Kerala,Wayanad,2024-02,16.99,,,,,,
Kerala,Wayanad,2024-03,15.56,,,,,,
Kerala,Wayanad,2024-04,18.67,,,,,,
Kerala,Wayanad,2024-05,25.82,,,,,,
Kerala,Wayanad,2024-06,27.62,,,,,,
Kerala,Wayanad,2024-07,29.71,,,,,,
Kerala,Wayanad,2024-08,30.00,,,,,,
Kerala,Wayanad,2024-09,24.22,,,,,,
,,,,,,,,,
,,,,,,,,,
This sheet is downloaded from https://www.indiawris.gov.in/,,,,,,,,,
